tube,V_ctl,R_DS,x,absVd,phase_Vd_deg,abs_n_diff,phase_n_diff_deg,demod_dc_mV
ILC1-1/7,-0.4500,216.45,0.13600,1.02852,-97.74,0.233346,-97.74,-20.0189
ILC1-1/7,-0.4537,217.23,0.13649,1.03214,-97.77,0.234167,-97.77,-20.1600
ILC1-1/7,-0.4575,218.01,0.13698,1.03578,-97.80,0.234994,-97.80,-20.3026
ILC1-1/7,-0.4612,218.79,0.13747,1.03945,-97.83,0.235827,-97.83,-20.4467
ILC1-1/7,-0.4650,219.59,0.13797,1.04315,-97.86,0.236665,-97.86,-20.5924
ILC1-1/7,-0.4688,220.39,0.13847,1.04687,-97.88,0.237510,-97.88,-20.7396
ILC1-1/7,-0.4725,221.19,0.13898,1.05062,-97.91,0.238360,-97.91,-20.8884
ILC1-1/7,-0.4763,222.00,0.13949,1.05439,-97.94,0.239217,-97.94,-21.0388
ILC1-1/7,-0.4800,222.82,0.14000,1.05819,-97.97,0.240079,-97.97,-21.1908
ILC1-1/7,-0.4838,223.64,0.14052,1.06202,-98.00,0.240948,-98.00,-21.3444
ILC1-1/7,-0.4875,224.47,0.14104,1.06588,-98.03,0.241823,-98.03,-21.4997
ILC1-1/7,-0.4913,225.30,0.14156,1.06976,-98.06,0.242704,-98.06,-21.6567
ILC1-1/7,-0.4950,226.14,0.14209,1.07368,-98.09,0.243592,-98.09,-21.8154
ILC1-1/7,-0.4988,226.99,0.14262,1.07762,-98.12,0.244486,-98.12,-21.9759
